ticket_id,created_at,category,priority,team,sla_min,resolution_min,rollback,sla_breached
T-00059,2026-09-14 22:23:00,service_request,,data,120,321,0,1
T-00060,2026-09-11 07:17:00,problem,P3,identity,30,341,0,1
T-00061,2026-09-14 15:00:00,problem,P4,frontend,480,1222,0,1
T-00062,2026-08-05 17:24:00,change,P2,payments,480,12,1,0
T-00063,2026-08-18 11:13:00,service_request,P2,payments,480,98,0,0
T-00064,2026-09-08 09:29:00,service_request,P3,identity,1440,351,0,0
T-00065,2026-08-01 00:09:00,service_request,P2,frontend,480,157,0,0
T-00066,2026-09-04 11:17:00,problem,P4,identity,480,1118,0,1
T-00067,2026-08-12 18:54:00,change,P4,data,480,1156,0,1
T-00068,2026-08-18 09:56:00,change,P2,payments,1440,54,0,0
T-00069,2026-08-08 22:41:00,incident,P2,identity,480,36,0,0
T-00070,2026-09-01 10:23:00,service_request,P1,frontend,1440,99,0,0
T-00071,2026-09-02 14:54:00,problem,P1,identity,480,47,0,0
T-00072,2026-09-03 09:42:00,change,P4,identity,480,1177,0,1
T-00073,2026-08-05 18:34:00,service_request,P2,platform,480,171,0,0
T-00074,2026-08-28 12:29:00,change,P3,platform,480,379,0,0
T-00075,2026-09-10 09:48:00,problem,P3,payments,120,360,0,1
T-00076,2026-08-30 12:15:00,incident,P3,data,480,400,0,0
T-00077,2026-09-03 17:05:00,incident,P3,frontend,480,464,0,0
T-00078,2026-08-09 14:47:00,incident,P3,platform,120,383,0,1
T-00079,2026-08-18 14:57:00,incident,P3,platform,1440,307,0,0
T-00080,2026-08-15 09:16:00,problem,P3,frontend,120,388,0,1
T-00081,2026-08-27 09:49:00,incident,P3,identity,1440,348,0,0
T-00082,2026-08-16 14:48:00,service_request,P3,identity,120,391,0,1
T-00083,2026-08-07 15:24:00,service_request,P4,frontend,120,1242,0,1
T-00084,2026-09-10 12:38:00,problem,P1,payments,30,87,0,1
T-00085,2026-08-25 14:20:00,problem,P3,data,480,392,0,0
T-00086,2026-08-27 12:04:00,service_request,P3,payments,120,299,0,1
T-00087,2026-09-12 09:47:00,incident,P2,frontend,1440,57,0,0
T-00088,2026-08-19 12:36:00,change,P2,payments,120,78,0,0
T-00089,2026-08-13 15:25:00,incident,P4,identity,120,1224,0,1
T-00090,2026-08-21 15:40:00,incident,P3,platform,1440,316,0,0
T-00091,2026-09-05 15:28:00,service_request,P4,data,1440,1216,0,0
T-00092,2026-09-02 09:03:00,problem,P3,platform,120,324,0,1
T-00093,2026-08-26 17:40:00,incident,P2,platform,480,123,0,0
T-00094,2026-08-25 11:13:00,service_request,P3,,480,295,0,0
T-00095,2026-08-21 12:43:00,change,P3,platform,480,440,0,0
T-00096,2026-09-03 15:37:00,service_request,P4,frontend,120,1111,0,1
T-00097,2026-08-17 09:33:00,problem,P2,payments,120,40,0,0
T-00098,2026-08-07 15:43:00,incident,P2,payments,1440,66,0,0
T-00099,2026-09-02 11:37:00,problem,P1,data,30,26,0,0
T-00100,2026-09-01 17:12:00,incident,P4,identity,30,1156,0,1
T-00101,2026-09-01 14:39:00,incident,P3,platform,30,367,0,1
T-00102,2026-08-21 20:55:00,incident,P2,platform,120,201,0,1
T-00103,2026-08-25 21:15:00,service_request,P3,identity,120,378,0,1
T-00104,2026-08-26 14:29:00,incident,P3,payments,480,468,0,0
T-00105,2026-09-05 13:13:00,incident,P2,payments,480,110,0,0
T-00106,2026-08-24 08:08:00,incident,P1,frontend,1440,-25,0,0
T-00107,2026-08-25 14:06:00,service_request,P4,platform,480,1220,0,1
T-00108,2026-08-05 14:52:00,service_request,P1,data,480,6,0,0
T-00109,2026-08-26 17:32:00,incident,P4,payments,480,1245,0,1
T-00110,2026-08-27 11:09:00,incident,P1,payments,1440,14,0,0
T-00111,2026-09-01 12:58:00,service_request,P1,payments,480,-65,0,0
T-00112,2026-08-07 10:57:00,service_request,P3,platform,480,415,0,0
T-00113,2026-09-02 11:38:00,change,P4,identity,480,1168,0,1
T-00114,2026-09-05 12:57:00,service_request,P3,identity,120,351,0,1
T-00115,2026-08-28 12:58:00,service_request,P2,platform,120,95,0,0
T-00116,2026-09-04 15:25:00,incident,P1,payments,120,-15,0,0
T-00117,2026-09-08 10:40:00,incident,P1,platform,120,135,0,1
T-00118,2026-08-09 09:12:00,change,P4,payments,1440,1281,0,0
T-00119,2026-08-06 07:31:00,problem,P4,payments,120,1141,0,1
T-00120,2026-09-04 17:39:00,service_request,P3,identity,480,382,0,0
T-00121,2026-08-15 09:59:00,service_request,P2,data,120,46,0,0
T-00122,2026-09-11 14:08:00,incident,P1,frontend,480,-54,0,0
T-00123,2026-09-04 14:20:00,incident,P3,frontend,1440,338,0,0
T-00124,2026-08-06 14:59:00,incident,P2,frontend,120,81,0,0
T-00125,2026-08-11 14:33:00,service_request,P1,identity,480,5,0,0
T-00126,2026-09-07 17:44:00,service_request,P3,platform,1440,385,0,0
T-00127,2026-09-03 12:04:00,incident,P2,payments,480,41,0,0
T-00128,2026-09-05 10:18:00,change,P2,frontend,120,98,0,0
T-00129,2026-08-28 15:34:00,change,P4,data,480,1259,0,1
T-00130,2026-08-12 11:41:00,change,P3,platform,120,483,0,1
T-00131,2026-09-01 12:47:00,service_request,P3,platform,1440,347,0,0
T-00132,2026-08-20 12:53:00,incident,P3,identity,480,309,0,0
T-00133,2026-09-07 12:53:00,problem,P4,identity,120,1253,0,1
T-00134,2026-09-03 17:11:00,service_request,P3,platform,1440,3307,0,1
T-00135,2026-09-03 17:04:00,incident,P3,payments,480,326,0,0
T-00136,2026-09-05 14:31:00,service_request,P2,payments,120,1475,0,1
T-00137,2026-08-24 17:09:00,change,P2,platform,120,146,0,1
T-00138,2026-08-26 10:17:00,incident,P3,payments,480,314,0,0
T-00139,2026-08-14 10:29:00,incident,P4,platform,120,1260,0,1
T-00140,2026-08-29 17:34:00,incident,P2,payments,480,156,0,0
T-00141,2026-08-30 10:15:00,problem,P2,identity,1440,140,0,0
T-00142,2026-08-19 09:11:00,incident,P2,data,120,100,0,0
T-00143,2026-08-31 16:10:00,incident,P3,data,120,293,0,1
T-00144,2026-09-09 15:37:00,service_request,P3,identity,480,409,0,0
T-00145,2026-08-12 10:45:00,service_request,P3,platform,1440,391,0,0
T-00146,2026-08-21 14:13:00,change,P3,data,1440,362,0,0
T-00147,2026-09-06 14:31:00,incident,P3,payments,1440,240,0,0
T-00148,2026-08-04 10:22:00,change,P2,identity,480,130,1,0
T-00149,2026-08-04 16:04:00,service_request,P2,frontend,1440,64,0,0
T-00150,2026-08-23 12:42:00,incident,P1,data,480,128,0,0
T-00151,2026-08-26 11:18:00,problem,P2,payments,120,143,0,1
T-00152,2026-09-01 22:40:00,incident,P4,data,30,1203,0,1
T-00153,2026-09-02 10:26:00,service_request,P2,data,1440,180,0,0
T-00154,2026-09-09 12:13:00,change,P3,payments,480,395,0,0
T-00155,2026-08-25 14:22:00,change,P3,identity,120,354,0,1
T-00156,2026-08-30 12:58:00,incident,P1,payments,480,-29,0,0
T-00157,2026-09-01 12:56:00,service_request,P4,payments,480,1151,0,1
T-00158,2026-09-02 11:28:00,service_request,P4,payments,1440,1243,0,0
T-00159,2026-09-09 15:17:00,incident,P2,identity,1440,127,0,0
T-00160,2026-09-02 20:50:00,incident,P3,frontend,480,370,0,0
T-00161,2026-09-01 09:07:00,incident,,frontend,480,49,0,0
T-00162,2026-08-01 09:03:00,problem,P3,identity,480,399,0,0
T-00163,2026-08-12 14:06:00,service_request,P3,,120,297,0,1
T-00164,2026-08-17 11:12:00,change,P3,platform,120,474,0,1
T-00165,2026-09-09 09:25:00,incident,P3,identity,30,413,0,1
T-00166,2026-08-28 12:56:00,incident,P3,payments,120,305,0,1
T-00167,2026-08-05 16:02:00,incident,P2,frontend,480,26,0,0
T-00168,2026-09-09 11:51:00,service_request,P3,data,1440,385,0,0
T-00169,2026-08-12 16:10:00,service_request,P4,payments,1440,1142,0,0
T-00170,2026-08-07 12:58:00,service_request,P4,frontend,1440,1176,0,0
T-00171,2026-08-31 09:58:00,problem,P3,platform,30,413,0,1
T-00172,2026-09-05 21:33:00,incident,P4,identity,480,1130,0,1
T-00173,2026-08-25 18:36:00,service_request,P3,frontend,30,396,0,1
T-00174,2026-08-20 00:44:00,service_request,P4,platform,480,1156,0,1
T-00175,2026-09-08 17:43:00,service_request,P4,platform,120,1141,0,1
T-00176,2026-08-06 13:28:00,service_request,P3,platform,480,371,0,0
T-00177,2026-08-05 09:37:00,change,P3,payments,480,460,0,0
T-00178,2026-08-12 20:01:00,change,P3,payments,30,280,0,1
T-00179,2026-08-28 16:58:00,change,P1,identity,480,53,0,0
T-00180,2026-09-02 12:05:00,incident,P2,payments,1440,91,0,0
T-00181,2026-08-01 13:40:00,service_request,P4,platform,480,1191,0,1
T-00182,2026-09-08 07:45:00,incident,P3,frontend,120,292,0,1
T-00183,2026-08-26 16:48:00,change,P3,identity,120,421,0,1
T-00184,2026-08-05 23:37:00,incident,P4,payments,1440,1162,0,0
T-00185,2026-08-07 15:45:00,problem,P4,frontend,480,1186,0,1
T-00186,2026-08-28 16:28:00,problem,P2,data,1440,84,0,0
T-00187,2026-09-09 15:19:00,service_request,P2,payments,480,53,0,0
T-00188,2026-09-06 11:56:00,service_request,P2,identity,480,58,0,0
T-00189,2026-08-19 04:38:00,change,P2,payments,1440,153,0,0
T-00190,2026-08-06 17:31:00,incident,P4,identity,480,1208,0,1
T-00191,2026-08-04 15:01:00,service_request,P2,data,480,-18,0,0
T-00192,2026-08-06 14:18:00,service_request,P3,frontend,480,323,0,0
T-00193,2026-09-01 16:28:00,problem,P3,platform,480,298,0,0
T-00194,2026-08-15 09:34:00,service_request,P3,frontend,30,338,0,1
T-00195,2026-08-24 10:14:00,service_request,P2,data,30,168,0,1
T-00196,2026-09-08 14:24:00,incident,P3,frontend,1440,400,0,0
T-00197,2026-08-13 10:45:00,service_request,P3,identity,480,266,0,0
T-00198,2026-08-01 15:55:00,service_request,P2,platform,30,52,0,1
T-00199,2026-09-03 16:41:00,incident,P4,payments,480,1280,0,1
T-00200,2026-08-31 17:19:00,problem,,payments,480,101,0,0
T-00201,2026-09-09 11:18:00,incident,P3,frontend,1440,366,0,0
T-00202,2026-08-14 08:12:00,service_request,P2,payments,1440,65,0,0
T-00203,2026-08-17 15:12:00,problem,P4,platform,120,1169,0,1
T-00204,2026-08-05 14:38:00,service_request,P3,identity,480,454,0,0
T-00205,2026-08-15 14:18:00,change,P4,data,480,1230,0,1
T-00206,2026-08-10 07:11:00,change,P2,identity,120,122,0,1
T-00207,2026-08-31 17:33:00,incident,P4,frontend,480,1118,0,1
T-00208,2026-08-07 17:41:00,problem,P1,identity,480,-51,0,0
T-00209,2026-09-07 06:34:00,incident,P4,platform,30,1203,0,1
T-00210,2026-09-10 08:33:00,incident,P2,frontend,1440,91,0,0
T-00211,2026-08-23 13:15:00,change,P3,identity,480,374,0,0
T-00212,2026-08-11 17:14:00,incident,P3,identity,480,478,0,0
T-00213,2026-09-08 00:09:00,incident,P4,frontend,480,1230,0,1
T-00214,2026-08-18 11:45:00,incident,P3,data,1440,420,0,0
T-00215,2026-09-13 16:22:00,service_request,,data,30,331,0,1
T-00216,2026-08-08 09:24:00,service_request,P3,platform,480,354,0,0
T-00217,2026-08-27 12:14:00,problem,P3,platform,480,261,0,0
T-00218,2026-08-14 12:50:00,incident,P3,frontend,480,388,0,0
T-00219,2026-08-26 22:37:00,service_request,P4,identity,480,1133,0,1
T-00220,2026-09-01 12:00:00,incident,P2,payments,480,46,0,0
T-00221,2026-08-17 17:40:00,change,P2,frontend,1440,125,0,0
T-00222,2026-08-30 01:41:00,change,P3,data,480,432,0,0
T-00223,2026-08-28 14:19:00,incident,P1,frontend,30,39,0,1
T-00224,2026-09-10 16:19:00,problem,P2,payments,120,83,0,0
T-00225,2026-08-14 13:21:00,incident,P3,frontend,1440,372,0,0
T-00226,2026-08-11 11:09:00,service_request,P4,payments,480,1220,0,1
T-00227,2026-09-07 08:39:00,change,P3,data,480,356,1,0
T-00228,2026-08-11 16:57:00,change,P4,platform,480,1156,0,1
T-00229,2026-08-25 14:38:00,incident,P2,identity,480,156,0,0
T-00230,2026-08-30 16:48:00,service_request,P4,data,120,1259,0,1
T-00231,2026-09-08 14:03:00,incident,P3,payments,480,380,0,0
T-00232,2026-09-10 12:10:00,incident,P4,frontend,480,1222,0,1
T-00233,2026-08-27 16:12:00,problem,P1,payments,480,28,0,0
T-00234,2026-09-02 16:01:00,service_request,P2,identity,120,165,0,1
T-00235,2026-08-10 00:59:00,incident,P3,identity,120,307,0,1
T-00236,2026-08-12 10:13:00,service_request,P3,platform,480,373,0,0
T-00237,2026-08-20 14:19:00,incident,P3,payments,30,378,0,1
T-00238,2026-08-26 07:57:00,incident,P3,frontend,120,406,0,1
T-00239,2026-08-10 13:34:00,incident,P1,payments,480,25,0,0
T-00240,2026-08-18 12:10:00,service_request,P4,frontend,1440,24313,0,1
T-00241,2026-08-04 14:35:00,service_request,P3,identity,1440,400,0,0
T-00242,2026-09-09 16:18:00,incident,P2,payments,30,99,0,1
T-00243,2026-09-08 17:48:00,incident,P4,frontend,30,1173,0,1
T-00244,2026-08-11 09:55:00,service_request,P3,payments,30,330,0,1
T-00245,2026-09-13 15:23:00,problem,P2,payments,1440,157,0,0
T-00246,2026-08-12 15:23:00,incident,P1,platform,480,-77,0,0
T-00247,2026-09-14 10:09:00,problem,P4,frontend,480,1189,0,1
T-00248,2026-08-31 19:46:00,incident,P4,payments,120,1185,0,1
T-00249,2026-08-24 14:59:00,service_request,P2,payments,480,192,0,0
T-00250,2026-09-08 11:34:00,change,P2,identity,480,131,0,0
T-00251,2026-09-03 22:48:00,service_request,P3,frontend,1440,332,0,0
T-00252,2026-08-14 00:46:00,incident,P2,identity,480,171,0,0
T-00253,2026-08-10 11:27:00,problem,P3,identity,1440,395,0,0
T-00254,2026-08-17 14:16:00,incident,P3,platform,1440,443,0,0
T-00255,2026-09-06 09:28:00,service_request,P4,payments,480,1255,0,1
T-00256,2026-08-19 11:44:00,change,P3,frontend,480,384,0,0
T-00257,2026-08-28 12:06:00,change,P3,frontend,120,403,0,1
T-00258,2026-08-29 16:23:00,incident,P3,frontend,1440,355,0,0
T-00259,2026-08-29 14:12:00,service_request,P4,platform,480,1195,0,1
T-00260,2026-08-10 14:37:00,change,P4,identity,480,1190,0,1
T-00261,2026-08-19 16:57:00,incident,P3,data,1440,372,0,0
T-00262,2026-08-15 14:51:00,incident,P3,data,1440,315,0,0
T-00263,2026-08-20 12:56:00,service_request,P2,identity,30,92,0,1
T-00264,2026-08-26 14:26:00,service_request,P3,identity,480,370,0,0
T-00265,2026-09-05 22:28:00,incident,P4,frontend,120,1232,0,1
T-00266,2026-08-15 14:00:00,change,P3,payments,480,465,0,0
T-00267,2026-09-03 15:11:00,problem,P3,platform,480,367,0,0
T-00268,2026-08-30 03:51:00,service_request,P3,data,480,296,0,0
T-00269,2026-09-04 14:56:00,service_request,P3,payments,120,351,0,1
T-00270,2026-08-27 12:51:00,service_request,P4,data,1440,1235,0,0
T-00271,2026-08-12 10:07:00,incident,P1,data,480,57,0,0
T-00272,2026-08-11 16:56:00,service_request,P2,platform,1440,175,0,0
T-00273,2026-08-06 11:37:00,incident,P3,data,120,394,0,1
T-00274,2026-08-12 09:29:00,service_request,P4,platform,120,1259,0,1
T-00275,2026-08-15 14:14:00,change,P3,platform,120,348,0,1
T-00276,2026-09-10 15:22:00,incident,P2,data,1440,722,0,0
T-00277,2026-08-20 15:29:00,incident,P3,identity,120,387,0,1
T-00278,2026-08-27 10:20:00,incident,P3,frontend,480,333,0,0
T-00279,2026-09-11 10:58:00,change,P3,identity,120,363,0,1
T-00280,2026-09-14 17:01:00,incident,P1,data,480,-17,0,0
T-00281,2026-08-23 18:14:00,change,P3,data,30,313,1,1
T-00282,2026-08-29 07:41:00,service_request,P3,frontend,1440,341,0,0
T-00283,2026-08-04 15:57:00,service_request,P4,payments,480,1252,0,1
T-00284,2026-08-26 16:59:00,incident,P1,identity,120,91,0,0
T-00285,2026-08-23 15:21:00,incident,P3,payments,1440,400,0,0
T-00286,2026-08-26 02:15:00,incident,P2,platform,120,112,0,0
T-00287,2026-09-06 12:50:00,change,P3,identity,1440,363,0,0
T-00288,2026-08-15 14:50:00,service_request,P4,frontend,120,1171,0,1
T-00289,2026-08-18 17:13:00,incident,P4,frontend,120,1225,0,1
T-00290,2026-08-29 16:40:00,incident,P3,,480,414,0,0
T-00291,2026-09-08 18:06:00,incident,P3,frontend,480,309,0,0
T-00292,2026-09-11 10:30:00,incident,P3,platform,120,378,0,1
T-00293,2026-08-09 14:29:00,problem,P3,frontend,480,336,0,0
T-00294,2026-09-11 17:54:00,change,P2,platform,1440,84,0,0
T-00295,2026-08-17 11:52:00,problem,P4,payments,480,1191,0,1
T-00296,2026-09-07 14:01:00,service_request,P2,platform,120,85,0,0
T-00297,2026-08-13 11:03:00,incident,P4,frontend,480,1245,0,1
T-00298,2026-09-04 17:48:00,service_request,P4,,120,1272,0,1
T-00299,2026-09-07 08:38:00,incident,P1,data,480,-68,0,0
T-00300,2026-08-29 14:22:00,incident,P2,platform,480,192,0,0
T-00301,2026-09-08 14:25:00,incident,P4,payments,30,1193,0,1
T-00302,2026-08-21 16:59:00,problem,P2,platform,480,189,0,0
T-00303,2026-08-21 14:00:00,incident,P1,data,480,50,0,0
T-00304,2026-09-14 09:50:00,change,P4,frontend,1440,1214,0,0
T-00305,2026-08-27 17:45:00,service_request,P2,frontend,120,106,0,0
T-00306,2026-08-23 11:03:00,incident,P3,frontend,120,370,0,1
T-00307,2026-08-23 12:59:00,incident,P2,,120,205,0,1
T-00308,2026-09-05 07:41:00,service_request,P4,data,1440,1230,0,0
T-00309,2026-08-20 17:11:00,incident,P1,payments,1440,50,0,0
T-00310,2026-09-03 17:52:00,incident,P1,frontend,120,55,0,0
T-00311,2026-08-26 16:07:00,change,P4,platform,120,1280,0,1
T-00312,2026-08-27 08:44:00,incident,P2,data,480,17,0,0
T-00313,2026-08-30 12:59:00,incident,P3,payments,1440,361,0,0
T-00314,2026-08-02 15:14:00,incident,P3,identity,1440,389,0,0
T-00315,2026-08-06 10:29:00,change,P3,frontend,480,438,0,0
T-00316,2026-08-17 14:07:00,incident,P1,frontend,480,-44,0,0
T-00317,2026-09-06 07:52:00,incident,P4,payments,1440,1172,0,0
T-00318,2026-09-03 14:24:00,incident,P1,frontend,30,68,0,1
T-00319,2026-08-28 21:37:00,service_request,P3,payments,480,326,0,0
T-00320,2026-08-29 08:11:00,incident,P2,payments,480,1772,0,1
T-00321,2026-08-19 09:43:00,incident,P4,payments,120,1234,0,1
T-00322,2026-09-09 14:51:00,incident,P4,platform,30,22376,0,1
T-00323,2026-08-03 16:22:00,incident,P1,platform,480,22,0,0
T-00324,2026-08-19 09:04:00,service_request,P4,data,120,1214,0,1
T-00325,2026-08-22 09:16:00,service_request,P1,platform,120,17,0,0
T-00326,2026-08-28 09:50:00,incident,P4,identity,120,1197,0,1
T-00327,2026-09-10 17:30:00,incident,P3,frontend,480,299,0,0
T-00328,2026-08-21 12:32:00,incident,P3,data,480,359,0,0
T-00329,2026-08-15 06:51:00,change,P4,identity,1440,1147,0,0
T-00330,2026-08-12 12:55:00,problem,P2,identity,1440,73,0,0
T-00331,2026-09-09 09:57:00,incident,P4,identity,480,1188,0,1
T-00332,2026-08-17 16:43:00,service_request,P3,identity,1440,6787,0,1
T-00333,2026-09-10 09:14:00,change,P3,payments,480,436,0,0
T-00334,2026-08-24 00:24:00,incident,P4,payments,30,1245,0,1
T-00335,2026-08-10 16:07:00,incident,P4,payments,120,1296,0,1
T-00336,2026-08-29 11:13:00,service_request,P4,identity,480,1082,0,1
T-00337,2026-08-03 16:00:00,service_request,P4,payments,480,1193,0,1
T-00338,2026-08-17 15:10:00,incident,P2,data,480,93,0,0
T-00339,2026-08-05 10:11:00,change,P3,platform,30,325,0,1
T-00340,2026-08-14 12:51:00,problem,P3,platform,480,388,0,0
T-00341,2026-08-24 12:11:00,incident,P3,data,480,311,0,0
T-00342,2026-09-08 21:07:00,incident,P4,identity,1440,1147,0,0
T-00343,2026-08-04 10:33:00,incident,P1,data,120,70,0,0
T-00344,2026-09-08 22:38:00,service_request,P4,data,480,1245,0,1
T-00345,2026-08-19 10:42:00,change,P4,frontend,1440,1295,0,0
T-00346,2026-08-27 09:43:00,service_request,P2,identity,480,175,0,0
T-00347,2026-09-06 17:52:00,incident,P2,identity,30,248,0,1
T-00348,2026-09-10 18:22:00,incident,P4,platform,480,1213,0,1
T-00349,2026-08-22 15:38:00,incident,P2,frontend,30,15,0,0
T-00350,2026-09-08 15:40:00,service_request,P1,data,480,35,0,0
T-00351,2026-08-11 16:06:00,change,P2,platform,30,193,0,1
T-00352,2026-08-20 14:33:00,service_request,P4,data,480,1128,0,1
T-00353,2026-08-12 08:47:00,change,P2,platform,120,145,0,1
T-00354,2026-09-10 17:00:00,problem,P2,identity,30,94,0,1
T-00355,2026-09-10 09:43:00,incident,P4,payments,480,1239,0,1
T-00356,2026-08-23 09:42:00,incident,P2,platform,1440,73,0,0
T-00357,2026-09-12 12:16:00,problem,P3,payments,30,363,0,1
T-00358,2026-09-08 17:34:00,change,P3,platform,120,357,0,1
T-00359,2026-08-20 17:51:00,service_request,P1,data,480,27,0,0
T-00360,2026-08-15 12:07:00,incident,P3,platform,480,409,0,0
T-00361,2026-08-25 10:24:00,service_request,P4,identity,1440,1118,0,0
T-00362,2026-09-14 19:27:00,service_request,P3,identity,1440,186,0,0
T-00363,2026-08-17 12:45:00,service_request,P3,,480,402,0,0
T-00364,2026-08-14 14:51:00,service_request,P2,data,480,102,0,0
T-00365,2026-08-25 09:26:00,change,P2,payments,480,125,0,0
T-00366,2026-09-11 16:18:00,incident,P3,payments,30,459,0,1
T-00367,2026-08-04 10:02:00,service_request,P2,platform,120,73,0,0
T-00368,2026-08-22 17:18:00,incident,P2,frontend,480,-1,0,0
T-00369,2026-08-10 15:58:00,service_request,P4,payments,120,1208,0,1
T-00370,2026-09-12 12:14:00,service_request,P4,payments,120,1070,0,1
T-00371,2026-08-04 19:14:00,service_request,P2,payments,1440,211,0,0
T-00372,2026-08-18 10:55:00,incident,P2,data,480,1,0,0
T-00373,2026-09-02 08:36:00,change,P4,frontend,480,1181,0,1
T-00374,2026-09-14 12:53:00,incident,,identity,120,216,0,1
T-00375,2026-08-06 10:30:00,incident,P4,platform,120,1048,0,1
T-00376,2026-08-18 14:28:00,incident,P1,platform,1440,57,0,0
T-00377,2026-09-07 09:30:00,incident,P3,identity,1440,284,0,0
T-00378,2026-08-15 11:01:00,incident,P2,identity,480,107,0,0
T-00379,2026-09-12 07:33:00,problem,P3,platform,120,319,0,1
T-00380,2026-08-27 15:25:00,service_request,P3,,120,369,0,1
T-00381,2026-08-26 16:11:00,incident,P2,platform,120,183,0,1
T-00382,2026-08-10 16:13:00,incident,P3,platform,480,419,0,0
T-00383,2026-08-31 16:48:00,service_request,P4,frontend,1440,1236,0,0
T-00384,2026-09-06 16:36:00,service_request,P4,data,120,1190,0,1
T-00385,2026-08-21 10:59:00,incident,P3,payments,1440,273,0,0
T-00386,2026-08-10 09:05:00,incident,P3,identity,120,346,0,1
T-00387,2026-09-01 10:50:00,problem,P2,identity,480,84,0,0
T-00388,2026-09-05 10:09:00,incident,P3,identity,120,386,0,1
T-00389,2026-09-14 15:48:00,change,P4,payments,480,1245,0,1
T-00390,2026-08-15 09:28:00,change,P4,frontend,120,1205,0,1
